name;stable_occurrence
ligand618-0;TECWEE-subgraph-2
ligand619-0;DAWLAP-subgraph-2
ligand620-0;GOCLUF-subgraph-4
ligand621-0;NIMYAN-subgraph-2
ligand622-0;IJEKUE-subgraph-1
ligand623-0;XUYXOE-subgraph-2
ligand624-0;EFELEJ-subgraph-1
ligand625-0;SARTIS-subgraph-0
ligand626-0;CINWIG-subgraph-1
ligand627-0;TIYCAF-subgraph-0
ligand628-0;WECNIE-subgraph-1
ligand629-0;PAYJAE-subgraph-0
ligand630-0;WEWZAZ-subgraph-1
ligand631-0;RAPLAX-subgraph-2
ligand632-0;FODHIT-subgraph-0
ligand633-0;AMODEL-subgraph-2
ligand634-0;SUZHEC-subgraph-1
ligand635-0;LOHLAV-subgraph-0
ligand636-0;HETDIX-subgraph-0
ligand637-0;TOXVEK-subgraph-1
ligand638-0;HOTXAS-subgraph-1
ligand639-0;DUNKAB-subgraph-1
ligand640-0;MIYFOQ-subgraph-2
ligand641-0;RAQTUB-subgraph-2
ligand642-0;QOZVEH-subgraph-0
ligand643-0;AYUNIT-subgraph-1
ligand644-0;EPUNEJ-subgraph-0
ligand645-0;ANAWUI-subgraph-2
ligand646-0;XIRHEN-subgraph-4
ligand646-1;XIRHIR-subgraph-4
ligand647-0;NEHVON-subgraph-1
ligand648-0;HEJVEB-subgraph-2
ligand649-0;BEWRED-subgraph-1
ligand650-0;JEFXAW-subgraph-0
ligand651-0;GELHAI-subgraph-4
ligand652-0;HOQREM-subgraph-0
ligand653-0;VUVHUQ-subgraph-0
ligand654-0;BEGLUU-subgraph-0
ligand655-0;MACPUC-subgraph-0
ligand656-0;ASOXIQ-subgraph-1
ligand657-0;BICROX-subgraph-1
