ligand0-0 | UKEBAN-subgraph-0
ligand10430-0 | ZANCOG-subgraph-0
ligand10431-0 | SAWTUI-subgraph-0
ligand10432-0 | MAQQAX-subgraph-0
ligand10433-0 | MASMUQ-subgraph-1
ligand10434-0 | TOQLAM-subgraph-2
ligand10435-0 | WIRRIA-subgraph-4
ligand10436-0 | PABKUZ-subgraph-1
ligand10437-0 | LABYIY-subgraph-3
ligand10438-0 | HIQBIS-subgraph-1
ligand10439-0 | KALWEA-subgraph-1
ligand1044-0 | NOGVUB-subgraph-1
ligand10440-0 | YOQBOW-subgraph-1
ligand10441-0 | XORVOR-subgraph-0
ligand10442-0 | KADQOX-subgraph-2
ligand10443-0 | EHIZAY-subgraph-0
ligand10444-0 | FENTOI-subgraph-1
ligand10445-0 | UTAHED-subgraph-2
ligand10446-0 | CEPPAR-subgraph-1
ligand10447-0 | IHEKUC-subgraph-0
ligand10448-0 | ZUBGAE-subgraph-3
ligand10449-0 | TUJPOD-subgraph-0
ligand1045-0 | MUFGEA-subgraph-1
ligand10450-0 | NOHLIG-subgraph-2
ligand10451-0 | ZEQFOS-subgraph-0
ligand10452-0 | IRASUQ-subgraph-2
ligand10453-0 | NEKRAX-subgraph-2
ligand10454-0 | FICBAV-subgraph-0
ligand10455-0 | RIKYAO-subgraph-0
ligand10456-0 | YEDYOY-subgraph-0
ligand10457-0 | GUTHAG-subgraph-2
ligand10458-0 | VANBOC-subgraph-2
ligand10458-1 | IGUWAI-subgraph-1
ligand10459-0 | PEVSUF-subgraph-2
ligand1046-0 | DORMUS-subgraph-0
ligand10460-0 | EQIREC-subgraph-3
ligand10461-0 | LIMXAH-subgraph-1
ligand10462-0 | JUDMEC-subgraph-1
ligand10463-0 | UQANEG-subgraph-2
ligand10464-0 | LAFMEN-subgraph-1
ligand10465-0 | NEXHUU-subgraph-0
ligand10466-0 | MAZKII-subgraph-0
ligand10467-0 | WEMSEM-subgraph-0
ligand10468-0 | YAQFUU-subgraph-0
ligand10469-0 | BUGZUZ-subgraph-0
ligand1047-0 | WUQQOQ-subgraph-1
ligand10470-0 | BANDID-subgraph-0
ligand10471-0 | YUXHUU-subgraph-1
ligand10472-0 | RAPHOH-subgraph-1
ligand10473-0 | FADVAI-subgraph-0
ligand10474-0 | PAQKOK-subgraph-0
ligand10475-0 | KIMLUN-subgraph-1
ligand10477-0 | PEBQAO-subgraph-1
ligand10478-0 | ZESKUG-subgraph-0
ligand10479-0 | ZESKUG-subgraph-1
ligand1048-0 | YUXWAQ-subgraph-1
ligand10480-0 | SOFGUQ-subgraph-0
ligand10481-0 | EMIFOV-subgraph-0
ligand10482-0 | QUSHOC-subgraph-3
ligand10483-0 | ONACOW-subgraph-1
ligand10484-0 | ACUYIJ-subgraph-0
ligand10485-0 | SAQLAA-subgraph-2
ligand10486-0 | NEQYOA-subgraph-2
ligand10487-0 | AMIQAQ-subgraph-0
ligand10488-0 | VUKLUI-subgraph-0
ligand10489-0 | REBWUR-subgraph-0
ligand1049-0 | AROBUE-subgraph-0
ligand10490-0 | WASZOF-subgraph-4
ligand10491-0 | XUBDIJ-subgraph-0
ligand10492-0 | XUXROY-subgraph-2
ligand10493-0 | XAPXOC-subgraph-1
ligand10494-0 | IZAHAS-subgraph-0
ligand10495-0 | HOBYIG-subgraph-1
ligand10496-0 | MELLUN-subgraph-0
ligand10497-0 | RAPTEK-subgraph-0
ligand10498-0 | NIJVIL-subgraph-2
ligand10499-0 | XOBNEJ-subgraph-0
ligand105-0 | XECDAN-subgraph-1
ligand1050-0 | BECNEC-subgraph-0
ligand10500-0 | YEQSIX-subgraph-2
ligand10501-0 | QERLEE-subgraph-0
ligand10502-0 | XETCOQ-subgraph-0
ligand10503-0 | XETCOQ-subgraph-1
ligand10504-0 | DUCBOS-subgraph-0
ligand10505-0 | DUCBOS-subgraph-2
ligand10506-0 | RARRIL-subgraph-0
ligand10507-0 | YESBED-subgraph-0
ligand10508-0 | RAFJOY-subgraph-0
ligand10509-0 | BPMGCO-subgraph-1
ligand1051-0 | YEHWEN-subgraph-1
ligand10510-0 | BPMGCO-subgraph-2
ligand10511-0 | DIBJUU-subgraph-3
ligand10512-0 | KEWKEC-subgraph-2
ligand10513-0 | VISWUR-subgraph-0
ligand10514-0 | HIZVIV-subgraph-1
ligand10515-0 | ZAJDIA-subgraph-2
ligand10516-0 | TUVJOJ-subgraph-0
ligand10517-0 | KIKMEZ-subgraph-2
ligand10518-0 | XUPGEW-subgraph-0
ligand1052-0 | YETFIN-subgraph-0
ligand10520-0 | HEZQAG-subgraph-0
ligand10521-0 | MOWTUO-subgraph-0
ligand10522-0 | POVRAW-subgraph-0
ligand10523-0 | HEZMIL-subgraph-1
ligand10523-1 | JUXPAV-subgraph-0
ligand10524-0 | QAGVEA-subgraph-1
ligand10525-0 | MUTSEB-subgraph-0
ligand10526-0 | ADIRIP-subgraph-0
ligand10527-0 | YIYDIU-subgraph-1
ligand10528-0 | SODXIS-subgraph-0
ligand10529-0 | CUHKIB-subgraph-0
ligand1053-0 | HAHXAQ-subgraph-0
ligand10530-0 | XIPFOU-subgraph-0
ligand10531-0 | TILWOA-subgraph-2
ligand10532-0 | GIKBOR-subgraph-0
ligand10533-0 | HINJAQ-subgraph-2
ligand10534-0 | JIYYUL-subgraph-1
ligand10535-0 | CFPYPD-subgraph-1
ligand10536-0 | HILDOW-subgraph-0
ligand10537-0 | BUYWUO-subgraph-0
ligand10538-0 | NEYVUJ-subgraph-0
ligand10539-0 | BOTXIU-subgraph-3
ligand1054-0 | CAQRIW-subgraph-0
ligand10540-0 | QOPVEW-subgraph-0
ligand10541-0 | POBSUU-subgraph-0
ligand10542-0 | NOJPUA-subgraph-0
ligand10543-0 | WUQQOP-subgraph-3
ligand10544-0 | LHISNI-subgraph-0
ligand10545-0 | PIKLIG-subgraph-2
