occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
UPOHAL-subgraph-0;-168.861141076;2.5515;0.241;-0.079;0.0;0.978074648174587;0.02192535182541301;0.0;0.162;0.0;0.9470688105462898;0.05293118945371017;0.0;36.94;573.657;2218.8427;8.697187416561358e-07;0.9999992093465984
RIXQEY-subgraph-1;-168.861146259;2.5519;0.241;-0.079;0.0;0.9780724120346762;0.021927587965323812;0.0;0.162;0.0;0.9470635237714742;0.052936476228525764;0.0;36.94;606.873;2219.0198;1.844891632119753e-06;0.9999981551083679
ZAYDAE-subgraph-3;-411.643661701;3.7316;0.21500000000000002;-0.271;0.0;1.0;0.0;0.0;-0.056;0.0;0.9622404027690371;0.03775959723096288;0.0;72.75;979.963;3557.3613;0.29871881419948926;0.7012811925497818
YUPVEK-subgraph-0;-1194.13370102;1.5726;0.127;0.191;0.0;1.0;0.0;0.0;0.318;0.0;0.9785670545009185;0.021432945499081445;0.0;50.94;720.662;399.3317;0.10419379441886228;0.8958062055811377
WAGZOT-subgraph-1;-1194.1337647;1.5717;0.127;0.191;0.0;1.0;0.0;0.0;0.318;0.0;0.9783717608651296;0.021628239134870435;0.0;50.89;900.698;400.3231;0.10421340938062353;0.8957865906193764
JEBCIC-subgraph-0;-2339.34841655;2.6551;0.173;-0.205;0.08196907685311504;0.9180309231468851;0.0;0.0;-0.032;0.0;0.9188057728324336;0.08119422716756637;0.0;451.53;4562.116;3135.7425;;
HOGPUO-subgraph-0;-1157.20813125;9.8611;0.153;-0.044;0.0;0.9871235932272128;0.012876406772787181;0.0;0.109;-0.013675749034345965;0.9539617914187284;0.0597139576156175;0.0;98.8;1491.761;3458.5297;0.20756956395969986;0.8397488937241997
KELFAJ-subgraph-1;-569.596332743;6.5579;0.024;-0.076;0.0;0.9690689761831116;0.030931023816888333;0.0;0.082;0.0;0.9644173070849562;0.035582692915043686;0.0;139.51;1577.712;3153.6683;0.21816060149185956;0.8451475230377083
PUMDUZ-subgraph-0;-1740.02105091;7.3603;0.19699999999999998;-0.022;0.1566865055265395;0.8179278513300133;0.025385643143447104;0.0;0.178;0.11227242076871206;0.8608676106990335;0.02685996853225444;0.0;426.01;4610.999;3203.0796;;
KILKIC-subgraph-1;-1740.02105376;7.3613;0.19699999999999998;-0.022;0.15672457781557522;0.8178836107398858;0.025391811444538937;0.0;0.178;0.11194784758907496;0.8611891648870406;0.026862987523884455;0.0;426.01;4988.919;3203.0787;;
BOCMIS-subgraph-1;-2041.3845371;5.5165;0.128;-0.083;0.03682310469314079;0.9481175863847345;0.015059308922124807;0.0;0.045;0.0;0.9747658402203856;0.025234159779614324;0.0;250.5;2084.579;3150.6114;;
MOMQAG-subgraph-2;-1121.77295864;5.5309;0.12100000000000001;0.082;0.011538042886687711;0.9543920757592249;0.0340698813540873;0.0;0.203;0.08525627935470695;0.8182560751480498;0.09648764549724322;0.0;311.51;2807.773;3416.82;;
BAFKEC-subgraph-0;-1564.57176547;11.8699;0.086;-0.063;0.0;0.9746887966804979;0.025311203319502075;0.0;0.023;0.0;0.9499668654738237;0.05003313452617628;0.0;296.9;2346.012;3146.5796;;
OCANIP-subgraph-1;-1753.32648117;7.2804;0.159;-0.09;0.0;0.9453125;0.0546875;0.0;0.167;1.087584111135229;-0.08758411113522899;0.0;0.0;228.68;2777.734;3119.6766;;
WOFQEP-subgraph-0;-3340.81410752;1.8653;0.194;-0.218;0.011834961997828445;0.9881650380021715;0.0;0.0;-0.024;-0.009109420212195903;0.9500589433072553;0.059050476904940516;0.0;205.19;1828.868;3143.0332;;
MITYUL-subgraph-0;-3340.8141075;1.8655;0.194;-0.218;0.011833677125176417;0.9881663228748235;0.0;0.0;-0.024;-0.009108444063437632;0.9500642948992712;0.0590441491641663;0.0;205.19;1891.935;3143.0119;;
QOBTIN-subgraph-1;-749.972926078;6.4999;0.137;-0.048;0.0;0.9530123037759864;0.04698769622401358;0.0;0.089;0.0;0.9773588993608493;0.022641100639150688;0.0;225.65;2342.757;3123.6323;;
ETECUB-subgraph-1;-745.426701102;9.8243;0.10499999999999998;0.192;0.11486208316179497;0.8657883902840674;0.019349526554137506;0.0;0.297;0.34386143657666846;0.5763627101375444;0.07977585328578707;0.0;104.85;1123.145;2959.6627;0.15675976333354394;0.854490345473753
XIZQUT-subgraph-0;-745.426702561;9.8197;0.10499999999999998;0.192;0.11485026242667488;0.8658022023258206;0.019347535247504374;0.0;0.297;0.3433869981658854;0.5768290197676789;0.07978398206643571;0.0;104.86;954.688;2959.6752;0.1567420235027311;0.8545163186097926
